pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,lat,long,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_met,sy_dist,st_logg,pl_orbsmax
KIC 10001893 b,KIC 10001893,1,3,Orbital Brightness Modulation,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,5.35,0
KIC 10001893 c,KIC 10001893,1,3,Orbital Brightness Modulation,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,5.35,0
KIC 10001893 d,KIC 10001893,1,3,Orbital Brightness Modulation,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,5.35,0
KIC 10068024 b,KIC 10068024,1,1,Orbital Brightness Modulation,2021,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.09,0
KIC 5095269 b,KIC 5095269,2,1,Eclipse Timing Variations,2017,Kepler,0,0,11.561052,2.776,8.7,0.0603,98.57,0.02,411.144,4.32,0.8
KIC 5479689 b,KIC 5479689,1,1,Orbital Brightness Modulation,2021,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.52,0
KIC 7917485 b,KIC 7917485,1,1,Pulsation Timing Variations,2016,Kepler,0,0,11.561052,2.776,8.7,0.15,98.57,0.02,411.144,4,0
KIC 8121913 b,KIC 8121913,1,1,Orbital Brightness Modulation,2021,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,3.9,0
KOI-55 b,KOI-55,1,2,Orbital Brightness Modulation,2011,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,5.52,0.006
KOI-55 c,KOI-55,1,2,Orbital Brightness Modulation,2011,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,5.52,0.0076
KOI-984 c,KOI-984,1,2,Transit Timing Variations,2022,Kepler,0,0,11.561052,2.776,8.7,0.38,98.57,0.02,411.144,4.54,0.1467
Kepler-122 f,Kepler-122,1,5,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.35,0.287
Kepler-138 e,Kepler-138,1,4,Transit Timing Variations,2022,Multiple Observatories,40,20,11.561052,2.776,8.7,0.112,98.57,0.02,411.144,4.71,0.1803
Kepler-1513 c,Kepler-1513,1,2,Transit Timing Variations,2023,Multiple Observatories,40,20,11.561052,2.776,8.7,0.125,98.57,0.02,411.144,4.46,0
Kepler-160 d,Kepler-160,1,3,Transit Timing Variations,2020,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.47,0.17
Kepler-19 c,Kepler-19,1,3,Transit Timing Variations,2011,Kepler,0,0,11.561052,2.776,8.7,0.21,98.57,0.02,411.144,4.51,0
Kepler-1976 b,Kepler-1976,1,1,Transit Timing Variations,2023,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.36,0.0565
Kepler-338 e,Kepler-338,1,4,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0.05,98.57,0.02,411.144,4.02,0.0893
Kepler-37 e,Kepler-37,1,4,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.61,0.246
Kepler-411 e,Kepler-411,2,4,Transit Timing Variations,2018,Kepler,0,0,11.561052,2.776,8.7,0.016,98.57,0.02,411.144,4.6,0.186
Kepler-414 b,Kepler-414,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.47,0.0527
Kepler-414 c,Kepler-414,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.47,0.0699
Kepler-415 b,Kepler-415,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.62,0.0426
Kepler-415 c,Kepler-415,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.62,0.0695
Kepler-416 b,Kepler-416,1,3,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.42,0.0658
Kepler-416 c,Kepler-416,1,3,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.42,0.1021
Kepler-417 b,Kepler-417,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.57,0.1006
Kepler-417 c,Kepler-417,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.57,0.1194
Kepler-419 c,Kepler-419,1,2,Transit Timing Variations,2014,Kepler,0,0,11.561052,2.776,8.7,0.184,98.57,0.02,411.144,4.1,1.68
Kepler-448 c,KOI-12,1,2,Transit Timing Variations,2017,Kepler,0,0,11.561052,2.776,8.7,0.65,98.57,0.02,411.144,4.31,4.2
Kepler-451 c,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2022,Multiple Observatories,40,20,11.561052,2.776,8.7,0.29,98.57,0.02,411.144,5.51,0
Kepler-451 d,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2022,Multiple Observatories,40,20,11.561052,2.776,8.7,0,98.57,0.02,411.144,5.51,0
Kepler-46 c,Kepler-46,1,3,Transit Timing Variations,2012,Kepler,0,0,11.561052,2.776,8.7,0.0146,98.57,0.02,411.144,4.45,0.2799
Kepler-539 c,Kepler-539,1,2,Transit Timing Variations,2016,Kepler,0,0,11.561052,2.776,8.7,0.5,98.57,0.02,411.144,4.5,2.42
Kepler-76 b,Kepler-76,1,1,Orbital Brightness Modulation,2013,Kepler,0,0,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.2,0.0274
Kepler-82 f,Kepler-82,1,5,Transit Timing Variations,2019,KOINet,-34.5805,19.3518,11.561052,2.776,8.7,0.0014,98.57,0.02,411.144,4.49,0.3395
LkCa 15 b,LkCa 15,1,2,Imaging,2015,Large Binocular Telescope Observatory,32.7014,-109.8892,11.561052,2.776,8.7,0,98.57,0.02,411.144,3.65,14.7
LkCa 15 c,LkCa 15,1,2,Imaging,2015,Large Binocular Telescope Observatory,32.7014,-109.8892,11.561052,2.776,8.7,0,98.57,0.02,411.144,3.65,18.6
MWC 758 c,MWC 758,1,1,Imaging,2023,Large Binocular Telescope Observatory,32.7014,-109.8892,11.561052,2.776,8.7,0,98.57,0.02,411.144,4.05,100
MXB 1658-298 b,MXB 1658-298,2,1,Eclipse Timing Variations,2017,Multiple Observatories,40,20,11.561052,2.776,7532.571,0,98.57,0.02,411.144,0,1.613
NN Ser c,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Observatories,40,20,11.561052,2.776,2329.6,0.08,98.57,0.02,411.144,0,5.35
NN Ser d,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Observatories,40,20,11.561052,2.776,731,0.19,98.57,0.02,411.144,0,3.43
NSVS 14256825 b,NSVS 14256825,2,1,Eclipse Timing Variations,2019,Multiple Observatories,40,20,11.561052,2.776,4497.2945,0.12,98.57,0.02,411.144,5.5,3.12
NY Vir b,NY Vir,2,2,Eclipse Timing Variations,2011,Multiple Observatories,40,20,11.561052,2.776,730.978,0.15,98.57,0.02,411.144,5.74,3.3
NY Vir c,NY Vir,2,2,Eclipse Timing Variations,2019,Winer Observatory,31.6657,-110.6018,11.561052,2.776,1760.7782,0.15,98.57,0.02,411.144,5.74,0
Oph 11 b,Oph 11,1,1,Imaging,2006,Gemini Observatory,19.8238,-155.4689,11.561052,2.776,4449.62,0,98.57,0.02,411.144,4.25,243
PDS 70 b,PDS 70,1,2,Imaging,2018,Paranal Observatory,-24.628,-70.40489,11.561052,2.776,953.49,0.19,98.57,0.02,411.144,3.68,20
PDS 70 c,PDS 70,1,2,Imaging,2019,European Southern Observatory,48.2596,11.671,11.561052,2.776,635.66,0.11,98.57,0.02,411.144,3.68,34
PSR B0329+54 b,PSR B0329+54,1,1,Pulsar Timing,2017,Multiple Facilities,75,-120,11.561052,2.776,1.97,0.236,98.57,0.02,411.144,0,10.26
PSR B1257+12 b,PSR B1257+12,1,3,Pulsar Timing,1994,Arecibo Observatory,18.3441,-66.7527,11.561052,2.776,0.02,0,98.57,0.02,411.144,0,0.19
PSR B1257+12 c,PSR B1257+12,1,3,Pulsar Timing,1992,Arecibo Observatory,18.3441,-66.7527,11.561052,2.776,4.3,0.0186,98.57,0.02,411.144,0,0.36
PSR B1257+12 d,PSR B1257+12,1,3,Pulsar Timing,1992,Arecibo Observatory,18.3441,-66.7527,11.561052,2.776,3.9,0.0264,98.57,0.02,411.144,0,0.46
PSR B1620-26 b,PSR B1620-26,2,1,Pulsar Timing,2003,Hubble Space Telescope,0,20,11.561052,2.776,794.575,0,98.57,0.02,411.144,0,23
PSR J1719-1438 b,PSR J1719-1438,1,1,Pulsar Timing,2011,Parkes Observatory,-32.9986,148.2621,11.561052,2.776,382.8,0.06,98.57,0.02,411.144,0,0.0044
PSR J2322-2650 b,PSR J2322-2650,1,1,Pulsar Timing,2017,Parkes Observatory,-32.9986,148.2621,11.561052,2.776,252.64307,0.0017,98.57,0.02,411.144,0,0.0102
PZ Tel b,PZ Tel,1,1,Imaging,2023,W. M. Keck Observatory,19.82636111,-155.4750111,11.561052,2.776,8581.36699,0.52,98.57,0.02,411.144,4.18,27
ROXs 12 b,ROXs 12,2,1,Imaging,2013,W. M. Keck Observatory,19.82636111,-155.4750111,11.561052,2.776,5085,0.83,98.57,0.02,411.144,4.07,210
ROXs 42 B b,ROXs 42 B,2,1,Imaging,2013,Multiple Observatories,40,20,11.561052,2.776,2860,0.58,98.57,0.02,411.144,0,157
RR Cae b,RR Cae,2,1,Eclipse Timing Variations,2012,Leoncito Astronomical Complex,-31.798611,-69.295611,11.561052,2.776,1334.886,0,98.57,0.02,411.144,5.08,5.3
Ross 458 c,Ross 458,2,1,Imaging,2010,Las Campanas Observatory,-29.0146,-70.6926,11.561052,2.776,1906.98,0,98.57,0.02,411.144,4.68,1100
SR 12 AB c,SR 12 AB,2,1,Imaging,2010,Infrared Survey Facility,-30,60,11.561052,2.776,4131.62,0,98.57,0.02,411.144,0,0
TOI-199 c,TOI-199,1,2,Transit Timing Variations,2023,Multiple Observatories,40,20,11.561052,2.776,88.99195,0.096,98.57,0.02,411.144,4.58,0.807
TOI-2202 c,TOI-2202,1,2,Transit Timing Variations,2021,Multiple Observatories,40,20,11.561052,2.776,117.27868,0.0622,98.57,0.02,411.144,4.55,0.15544
TYC 8998-760-1 b,TYC 8998-760-1,1,2,Imaging,2020,Paranal Observatory,-24.628,-70.40489,11.561052,2.776,4449.62,0,98.57,0.02,411.144,4.29,162
TYC 8998-760-1 c,TYC 8998-760-1,1,2,Imaging,2020,Paranal Observatory,-24.628,-70.40489,11.561052,2.776,1906.98,0,98.57,0.02,411.144,4.29,320
USco CTIO 108 b,USco CTIO 108,1,1,Imaging,2008,Teide Observatory,28.4744,-16.3089,11.561052,2.776,4449.62,0,98.57,0.02,411.144,4.88,670
USco1556 b,USco1556 A,1,1,Imaging,2019,Multiple Observatories,40,20,11.561052,2.776,4767.45,0,98.57,0.02,411.144,4.59,3500
USco1621 b,USco1621 A,1,1,Imaging,2019,Multiple Observatories,40,20,11.561052,2.776,5085.28,0,98.57,0.02,411.144,4.25,2880
UZ For b,UZ For,2,2,Eclipse Timing Variations,2011,Multiple Observatories,40,20,11.561052,2.776,2002.2,0.04,98.57,0.02,411.144,0,5.9
UZ For c,UZ For,2,2,Eclipse Timing Variations,2011,Multiple Observatories,40,20,11.561052,2.776,2447.2,0.05,98.57,0.02,411.144,0,2.8
V0391 Peg b,V0391 Peg,1,1,Pulsation Timing Variations,2007,Multiple Observatories,40,20,11.561052,13.1,1017.056,0,98.57,0.02,411.144,5.4,1.7
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,2,1,Imaging,2015,Paranal Observatory,-24.628,-70.40489,11.561052,13.675,5085.25451,0.68,98.57,0.02,411.144,5.05,350
WASP-126 c,WASP-126,1,2,Transit Timing Variations,2019,Transiting Exoplanet Survey Satellite (TESS),30,-60,11.561052,9.38,64.2,0.05,98.57,0.02,411.144,4.28,0
WASP-18 c,WASP-18,2,2,Transit Timing Variations,2019,Transiting Exoplanet Survey Satellite (TESS),30,-60,11.561052,8.58,55.2,0.015,98.57,0.02,411.144,4.37,0.035
WD 0806-661 b,WD 0806-661,1,1,Imaging,2011,Spitzer Space Telescope,0,0,11.561052,12.6,2542.62726,0,98.57,0.02,411.144,0,2500
WISE J033605.05-014350.4 b,WISE J033605.05-014350.4,1,1,Imaging,2023,James Webb Space Telescope (JWST),0,30,11.561052,12.6,2622.08436,0,98.57,0.02,411.144,0,0.97
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,1,1,Imaging,2012,W. M. Keck Observatory,19.82636111,-155.4750111,11.561052,10.468,6992,0,98.57,0.02,411.144,5,8
YSES 2 b,YSES 2,1,1,Imaging,2021,Paranal Observatory,-24.628,-70.40489,11.561052,12.7,2002.31896,0,98.57,0.02,411.144,4.25,115
b Cen AB b,b Cen A,2,1,Imaging,2021,Paranal Observatory,-24.628,-70.40489,11.561052,12.4,3464.32964,0.4,98.57,0.02,411.144,0,556
bet Pic b,bet Pic,1,2,Imaging,2008,Paranal Observatory,-24.628,-70.40489,11.561052,18.495,3727.80939,0.106,98.57,0.02,411.144,4.35,10.018
